commodity,market,district,modal_price
Cucumbar (Kheera),Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,2900.0
Coriander (Leaves),Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,5800.0
Chow Chow,Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,2300.0
Chikoos (Sapota),Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,3350.0
Carrot,Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,3900.0
Capsicum,Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,6850.0
Bitter gourd,Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,3400.0
Beetroot,Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,2900.0
Beans,Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,6650.0
Banana - Green,Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,2900.0
Ashgourd,Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,1750.0
Amla (Nelli Kai),Dharmapuri (Uzhavar Sandhai ) APMC,Dharmapuri,7400.0
Sweet Potato,AJattihalli (Uzhavar Sandhai ) APMC,Dharmapuri,2600.0
Onion Green,AJattihalli (Uzhavar Sandhai ) APMC,Dharmapuri,3200.0
Lemon,AJattihalli (Uzhavar Sandhai ) APMC,Dharmapuri,8000.0
Green Chilli,AJattihalli (Uzhavar Sandhai ) APMC,Dharmapuri,5800.0
Green Avare (W),AJattihalli (Uzhavar Sandhai ) APMC,Dharmapuri,3500.0
Ginger (Green),AJattihalli (Uzhavar Sandhai ) APMC,Dharmapuri,9100.0
Colacasia,AJattihalli (Uzhavar Sandhai ) APMC,Dharmapuri,6000.0
Brinjal,Vadalur (Uzhavar Sandhai ) APMC,Cuddalore,4500.0
Green Chilli,Pennagaram (Uzhavar Sandhai ) APMC,Dharmapuri,5650.0
Lemon,Pennagaram (Uzhavar Sandhai ) APMC,Dharmapuri,8800.0
Coconut,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,5400.0
Cluster beans,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,4750.0
Carrot,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,4650.0
Brinjal,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,5650.0
Bottle gourd,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,1100.0
Beetroot,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,4200.0
Beans,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,5200.0
Coconut,Vedasanthur (Uzhavar Sandhai ) APMC,Dindigul,5250.0
Coriander (Leaves),Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,4750.0
Bottle gourd,Vedasanthur (Uzhavar Sandhai ) APMC,Dindigul,1250.0
Tomato,Palani (Uzhavar Sandhai ) APMC,Dindigul,1250.0
Thondekai,Palani (Uzhavar Sandhai ) APMC,Dindigul,4250.0
Tapioca,Palani (Uzhavar Sandhai ) APMC,Dindigul,2750.0
Soyabean,Palani (Uzhavar Sandhai ) APMC,Dindigul,8500.0
Pumpkin,Palani (Uzhavar Sandhai ) APMC,Dindigul,1300.0
Papaya,Palani (Uzhavar Sandhai ) APMC,Dindigul,2250.0
Mango (Raw-Ripe),Palani (Uzhavar Sandhai ) APMC,Dindigul,7500.0
Indian Beans (Seam),Palani (Uzhavar Sandhai ) APMC,Dindigul,4250.0
Yam (Ratalu),Palani (Uzhavar Sandhai ) APMC,Dindigul,5500.0
Elephant Yam (Suran)/Amorphophallus,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,3350.0
Ginger (Green),Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,7200.0
Green Avare (W),Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,5200.0
Onion Green,Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,2250.0
Lemon,Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,5250.0
Groundnut,Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,4250.0
Elephant Yam (Suran)/Amorphophallus,Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,2400.0
Drumstick,Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,6750.0
Coriander (Leaves),Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,3750.0
Coconut,Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,5200.0
Bottle gourd,Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,1300.0
Bhindi (Ladies Finger),Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,4200.0
Banana - Green,Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,3250.0
Banana,Periyar Nagar (Uzhavar Sandhai ) APMC,Erode,2200.0
Tapioca,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,2350.0
Sweet Potato,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,5250.0
Snakeguard,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,3650.0
Ridgeguard (Tori),Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,4350.0
Onion,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,3350.0
Maize,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,3650.0
Lemon,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,8200.0
Guava,Gobichettipalayam (Uzhavar Sandhai ) APMC,Erode,5250.0
Green Chilli,Palani (Uzhavar Sandhai ) APMC,Dindigul,5000.0
Drumstick,Palani (Uzhavar Sandhai ) APMC,Dindigul,13000.0
Cowpea (Veg),Palani (Uzhavar Sandhai ) APMC,Dindigul,2250.0
Chikoos (Sapota),Palani (Uzhavar Sandhai ) APMC,Dindigul,3750.0
Yam (Ratalu),Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,6500.0
Snakeguard,Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,5500.0
Papaya,Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,3250.0
Lemon,Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,2750.0
Green Chilli,Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,5500.0
Ginger (Green),Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,8500.0
Elephant Yam (Suran)/Amorphophallus,Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,5500.0
Drumstick,Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,9000.0
Coriander (Leaves),Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,2750.0
Chow Chow,Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,2750.0
Carrot,Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,4750.0
Bottle gourd,Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,1750.0
Beetroot,Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,4750.0
Amla (Nelli Kai),Chinnalapatti (Uzhavar Sandhai ) APMC,Dindigul,4500.0
Snakeguard,Pennagaram (Uzhavar Sandhai ) APMC,Dharmapuri,2900.0
Raddish,Pennagaram (Uzhavar Sandhai ) APMC,Dharmapuri,1900.0
Pumpkin,Pennagaram (Uzhavar Sandhai ) APMC,Dharmapuri,2400.0
Papaya,Pennagaram (Uzhavar Sandhai ) APMC,Dharmapuri,2900.0
Onion Green,Pennagaram (Uzhavar Sandhai ) APMC,Dharmapuri,3900.0
Amla (Nelli Kai),Dindigul (Uzhavar Sandhai ) APMC,Dindigul,4000.0
Green Peas,Pennagaram (Uzhavar Sandhai ) APMC,Dharmapuri,5800.0
Ashgourd,Dindigul (Uzhavar Sandhai ) APMC,Dindigul,2500.0
Beetroot,Dindigul (Uzhavar Sandhai ) APMC,Dindigul,4500.0
Bottle gourd,Palani (Uzhavar Sandhai ) APMC,Dindigul,1150.0
Bhindi (Ladies Finger),Palani (Uzhavar Sandhai ) APMC,Dindigul,3750.0
Banana - Green,Palani (Uzhavar Sandhai ) APMC,Dindigul,3750.0
Ashgourd,Palani (Uzhavar Sandhai ) APMC,Dindigul,1800.0
Yam (Ratalu),Dindigul (Uzhavar Sandhai ) APMC,Dindigul,6500.0
Tapioca,Dindigul (Uzhavar Sandhai ) APMC,Dindigul,3300.0
Tamarind Fruit,Dindigul (Uzhavar Sandhai ) APMC,Dindigul,15000.0
Soyabean,Dindigul (Uzhavar Sandhai ) APMC,Dindigul,9000.0
Raddish,Dindigul (Uzhavar Sandhai ) APMC,Dindigul,3300.0
